Produto,Preço,Entrada Mínima,Entrada Máxima,Imagem
iPad Pro 10.9 - 512GB,,"€300,00",,
iPad Pro 10.9 - 1TB,,"€300,00",,
iPad Pro 10.9 - 2TB,,"€300,00",,
Apple Watch SE - 40mm,"€289,00","€150,00","€231,20",
Apple Watch SE - 44mm,"€319,00","€150,00","€255,20",
SE GPS + Cellular - 40mm,,"€100,00",,
SE GPS + Cellular - 44mm,,"€100,00",,
Apple Watch S9 - 41mm,"€459,00","€150,00","€367,20",AppleWatchS9.png
Apple Watch S9 - 45mm,"€489,00","€150,00","€391,20",AppleWatchS9.png
S9 + GPS Celular - 41mm,"€579,00","€100,00","€463,20",
S9 + GPS Celular - 45mm,"€609,00","€100,00","€487,20",
Watch Ultra 2 - 49mm,"€909,00","€250,00","€727,20",
AirPods - 3gr,"€209,00","€100,00","€167,20",AirPods.png
AirPods - Pro 1gr,,"€100,00",,AirPods.png
AirPods - Pro 2gr,"€280,00","€100,00","€224,00",AirPods.png
AirPods Max,"€579,00","€150,00","€463,20",AirPods.png
Nitendo Switch,"€249,00",,"€199,20",
Nitendo Switch - OLED,"€349,00",,"€279,20",
JBL Boombox 3,"€420,00",,"€336,00",
PlayStation 5 - 825GB,"€550,00","€150,00","€440,00",PlayStation5.png
Controle PlayStation 5,,,,PlayStation5Controller.png
